Tissue,sgID,Cell_Line,Mouse_Genotype,Sex,Time_Point,MetBurden,MetSeeding,SizePercentile,PeakMode,MetDormancy
Liver,Gpatch8mmu-sg3,rp48,NSG,F,1week,0.939312801275651,0.749812588559691,1.19793308265071,0.475052288709971,0.987398142103959
Liver,Inpp5emmu-sg1,rp48,NSG,F,1week,0.718358903996843,0.868341815392038,0.929721043758264,0.371113097802034,1.00130515818993
Liver,Inpp5emmu-sg2,rp48,NSG,F,1week,1.01590604081301,1.11832058731277,0.838220765875552,0.39323689600873,1.02697964942557
Liver,Inpp5emmu-sg3,rp48,NSG,F,1week,0.709141379907112,0.763242385419787,0.828788992238611,0.418516921558747,0.998642112556447
Liver,KMT5Bmmu-sg1,rp48,NSG,F,1week,1.20264179415804,0.999139023875383,1.3353751914242,0.371059325575149,0.959584109932017
Liver,KMT5Bmmu-sg2,rp48,NSG,F,1week,1.18806012082123,0.875239188079218,1.40936145993621,0.233338739813877,0.95519242064171
Liver,KMT5Bmmu-sg3,rp48,NSG,F,1week,1.00255879792185,0.940246501522368,1.07974893521091,0.429007147678339,1.00642879569529
Liver,Kctd10mmu-sg1,rp48,NSG,F,1week,1.09927497773369,0.878253444132695,1.17148693930239,0.450724130197634,0.974406061286802
Liver,Kctd10mmu-sg2,rp48,NSG,F,1week,0.7903696635747,0.896759224214872,0.892380093946743,0.368496459816878,1.02334646670355
Liver,Kctd10mmu-sg3,rp48,NSG,F,1week,1.0637109183575,1.08114709619725,0.867650221060248,0.395491046246834,1.00439560620904
Liver,Kdm5ammu-sg1,rp48,NSG,F,1week,0.59967261860168,0.846625238728886,0.4735442282131,,1.04302620644784
Liver,Kdm5ammu-sg2,rp48,NSG,F,1week,0.685916185374806,0.516408644164708,0.99706204440247,,1.04302620644784
Liver,Kdm5ammu-sg3,rp48,NSG,F,1week,1.58327738517101,1.28120431798856,1.72514232167674,,0.882560636225099
Liver,Lamc1mmu-sg1,rp48,NSG,F,1week,0.706460081599118,0.931201635924386,1.01181482619226,,1.04302620644784
Liver,Lamc1mmu-sg2,rp48,NSG,F,1week,1.5231346501724,1.18343929650195,1.37511485451761,1.06745558392691,0.992557196458433
Liver,Lamc1mmu-sg3,rp48,NSG,F,1week,0.949893033055945,0.98717148045906,0.943509973673076,0.424957540272413,1.00825866623292
Liver,Maddmmu-sg1,rp48,NSG,F,1week,0.9262226949196,1.07675091282613,0.88336819849303,0.145306914621764,1.00439560620904
Liver,Maddmmu-sg2,rp48,NSG,F,1week,1.0510459356725,1.04095996641464,0.938032454174233,0.332956524358008,1.01234896508173
Liver,Maddmmu-sg3,rp48,NSG,F,1week,0.923505415676016,0.930435400309153,1.03497148867526,0.38209394870394,1.02647023491693
Liver,Mgammu-sg1,rp48,NSG,F,1week,0.905577290715745,0.864847056609053,1.09067007776004,0.412205977562851,1.0172724729553
Liver,Mgammu-sg2,rp48,NSG,F,1week,0.783308960311398,0.596266714318905,1.31796465349023,0.399964107318931,0.94126755216025
Liver,Mgammu-sg3,rp48,NSG,F,1week,0.661237078556122,0.645363438205435,0.927084207156348,0.399491168562907,0.99335829185509
Liver,Nfibmmu-sg1,rp48,NSG,F,1week,,,0.0476788292187816,,1.04302620644784
Liver,Nfibmmu-sg2,rp48,NSG,F,1week,0.492454246876744,0.817295721530063,0.652785004365559,0.150064071063894,1.04302620644784
Liver,Nfibmmu-sg3,rp48,NSG,F,1week,,,0.11710130033404,,1.04302620644784
Liver,Ptenmmu-sg1,rp48,NSG,F,1week,0.896266508964089,0.452464855721587,1.99402756508423,0.78860899101654,0.882560636225099
Liver,Ptenmmu-sg2,rp48,NSG,F,1week,0.808574774332528,0.577002786288034,1.58840670798056,0.422240916100351,0.948205642225313
