Mouse_ID,Tissue,sgID,Cell_Line,MetBurden,MetSeeding,SizePercentile,PeakMode,MetDormancy,SizePercentile_50,SizePercentile_20
73200,Liver,Zc3h7ammu-sg1,rp48,0.91188041,1.011734153,1.041971949,1.870429065,1.004435542,1.138801262,0.846925972
73200,Liver,Zc3h7ammu-sg2,rp48,0.761717264,0.848905892,0.988591166,0.929161398,1.004435542,0.747634069,0.580928482
73200,Liver,Zc3h7ammu-sg3,rp48,0.741321153,0.811223219,0.968599539,1.060918764,1.004435542,0.944794953,1.106649937
73200,Liver,Zeb1mmu-sg1,rp48,0.792380549,0.639651515,1.406740632,2.833298981,1.004435542,1.533123028,0.986198243
73200,Liver,Zeb1mmu-sg2,rp48,1.193876123,0.554458843,1.626753192,1.049890828,0.960764431,1.252365931,0.908406524
73200,Liver,Zeb1mmu-sg3,rp48,0.764502193,0.695100809,1.374607494,1.14546787,1.004435542,0.933753943,0.899623588
73200,Liver,Zfp574mmu-sg1,rp48,0.628295855,1.293871176,0.407996651,,1.004435542,0.70977918,0.666248432
73200,Liver,Zfp574mmu-sg2,rp48,,,0.724303956,,1.004435542,2.1829653,4.341279799
73200,Liver,Zfp574mmu-sg3,rp48,0.420880455,0.815054367,0.414590747,,1.004435542,0.686119874,0.737766625
73200,Liver,sgNT2-MMU,rp48,0.631624267,0.776048931,0.741992883,1.129907001,1.004435542,0.837539432,0.851944793
73200,Liver,sgNT3-MMU,rp48,1.067937486,1.129257555,0.997278627,1.014555997,1.004435542,0.889589905,1.210790464
73200,Liver,sgSafe19-MMU,rp48,0.862348234,0.744180074,1.057148838,2.391738856,1.004435542,1.594637224,1.520702635
73200,Liver,sgSafe28-MMU,rp48,1.019705925,1.129538815,1.102888842,0.850125485,1.004435542,0.810725552,0.987452949
73200,Liver,sgSafe29-MMU,rp48,0.60881932,0.806019615,0.747435629,1.148397521,1.004435542,0.876971609,0.715181932
73200,Liver,sgSafe30-MMU,rp48,1.153824136,1.193098073,0.841532342,1.586726802,0.985834883,0.837539432,0.632371393
73200,Liver,sgSafe33-MMU,rp48,1.250986759,1.061630586,1.02616705,2.067062213,1.004435542,1.586750789,1.373902133
73200,Liver,sgSafe36-MMU,rp48,1.148903007,1.379856004,0.813795269,0.815536043,1.004435542,0.8170347,0.989962359
73200,Liver,sgSafe4-MMU,rp48,1.326668071,0.985701691,1.439815784,1.229358604,0.978680784,1.132492114,1.254705144
73200,Liver,sgSafe5-MMU,rp48,0.929182795,0.794668657,1.360058614,1.248495936,1.004435542,1.146687697,1.526976161
73200,Liver,Actr3mmu-sg1,rp116,0.32173336,0.481695838,0.507393715,,1,0.873684211,0.966666667
73200,Liver,Actr3mmu-sg2,rp116,,,1.673752311,,1,1.155263158,1.5
73200,Liver,Actr3mmu-sg3,rp116,,,1.640295749,,1,2.068421053,3.06
73200,Liver,Arpc4mmu-sg1,rp116,0.201334475,0.342214544,0.355637708,,1,0.810526316,1.391111111
73200,Liver,Bag1mmu-sg1,rp116,0.93583594,0.936164902,0.812569316,,1,1.184210526,0.946666667
73200,Liver,Bag1mmu-sg2,rp116,1.245102039,1.061781062,1.49168207,0.906178193,1,1.089473684,1.622222222
73200,Liver,Bag1mmu-sg3,rp116,0.680142814,0.874691011,0.553049908,,1,1.052631579,1.646666667
73200,Liver,Brk1mmu-sg2,rp116,0.828441348,0.654380669,1.18780037,,1,1.215789474,1.944444444
73200,Liver,Brk1mmu-sg3,rp116,0.959490726,0.748376025,1.056007394,,1,1.507894737,1.968888889
73200,Liver,Cdh6mmu-sg2,rp116,1.576446305,0.945773955,1.111275416,,1,2.384210526,2.588888889
73200,Liver,Cdh6mmu-sg3,rp116,0.706385903,0.496216352,1.168761553,,1,1.507894737,2.58
73200,Liver,Chd7mmu-sg1,rp116,1.668677996,0.985031012,1.365619224,,1,2.310526316,2.482222222
73200,Liver,Chd7mmu-sg2,rp116,,,0.456192237,,1,1.084210526,1.948888889
73200,Liver,Chd7mmu-sg3,rp116,,,0.484288355,,1,1.378947368,2.911111111
73200,Liver,Crebbpmmu-sg1,rp116,4.535304671,3.109811285,1.595378928,1.031340094,1,1.347368421,1.448888889
73200,Liver,Crebbpmmu-sg2,rp116,5.023166722,3.46770302,1.458410351,1.940259512,1,1.360526316,1.095555556
73200,Liver,Crebbpmmu-sg3,rp116,5.170470951,3.256573553,1.601848429,1.657229475,1,1.742105263,1.273333333
73200,Liver,Ctnnd1mmu-sg1,rp116,1.312432449,1.078169908,1.096857671,0.988763794,0.990825688,1.110526316,1.208888889
73200,Liver,Ctnnd1mmu-sg2,rp116,1.036074207,0.742075325,1.447319778,1.189831976,1,1.473684211,1.588888889
73200,Liver,Ctnnd1mmu-sg3,rp116,1.144597389,0.848636805,1.355637708,1.206882385,1,1.457894737,1.42
73200,Liver,Ewsr1mmu-sg1,rp116,1.203597352,1.247319093,0.913308688,,1,0.963157895,1.404444444
73200,Liver,Ewsr1mmu-sg2,rp116,,,0.503142329,,1,1.205263158,2.077777778
73200,Liver,Ewsr1mmu-sg3,rp116,0.625582523,0.603613188,0.920147874,,1,1.252631579,1.513333333
73200,Liver,Gabrr1mmu-sg1,rp116,0.665591818,0.768123667,1.001848429,,1,0.852631579,1.266666667
73200,Liver,Gabrr1mmu-sg2,rp116,0.730795515,0.679948027,0.953789279,,1,1.121052632,1.397777778
73200,Liver,Gabrr1mmu-sg3,rp116,0.512934049,0.589250445,0.547874307,,1,1.305263158,1.944444444
73200,Liver,Gata6mmu-sg1,rp116,0.935822901,0.876421239,1.154898336,0.863238722,1,1.131578947,1.195555556
73200,Liver,Gata6mmu-sg2,rp116,0.682910849,0.606987504,0.869316081,,1,1.347368421,1.531111111
73200,Liver,Gata6mmu-sg3,rp116,0.483449733,0.481350886,1.018299445,,1,0.752631579,1.184444444
73200,Liver,Gpatch8mmu-sg1,rp116,1.416298002,1.187660576,1.278927911,1.059591003,1,1.257894737,1.335555556
73200,Liver,Gpatch8mmu-sg2,rp116,0.305297717,0.486294019,0.37818854,,1,0.857894737,1.491111111
73200,Liver,Gpatch8mmu-sg3,rp116,1.517117661,1.131764257,0.982439926,1.252562541,1,1.392105263,1.455555556
73200,Liver,Inpp5emmu-sg1,rp116,0.810438619,0.80828974,0.704251386,,1,1.457894737,1.177777778
73200,Liver,Inpp5emmu-sg2,rp116,1.253092665,1.092319164,1.120887246,,1,1.084210526,1.362222222
73200,Liver,Inpp5emmu-sg3,rp116,1.276142684,1.225090644,0.828465804,,1,0.873684211,0.917777778
73200,Liver,KMT5Bmmu-sg1,rp116,0.797624939,0.698018954,0.946025878,,1,1.573684211,1.684444444
73200,Liver,KMT5Bmmu-sg2,rp116,0.314161088,0.405428339,0.570240296,,1,0.984210526,1.388888889
73200,Liver,KMT5Bmmu-sg3,rp116,0.910251792,0.792240324,0.91219963,,1,1.407894737,1.855555556
73200,Liver,Kctd10mmu-sg1,rp116,1.024352942,0.995220074,0.971534196,,1,1.052631579,1.393333333
73200,Liver,Kctd10mmu-sg2,rp116,1.370529778,1.03709377,1.206839187,,1,1.257894737,1.744444444
73200,Liver,Kctd10mmu-sg3,rp116,0.311462629,0.469226108,0.378927911,,1,0.860526316,1.704444444
73200,Liver,Kdm5ammu-sg1,rp116,,,1.617744917,,1,1.613157895,1.966666667
73200,Liver,Kdm5ammu-sg2,rp116,,,0.22181146,,1,0.631578947,1.333333333
73200,Liver,Kdm5ammu-sg3,rp116,,,0.353049908,,1,0.836842105,1.08
73200,Liver,Lamc1mmu-sg1,rp116,,,0.836598891,,1,1.868421053,3.711111111
73200,Liver,Lamc1mmu-sg2,rp116,1.119702634,0.633659405,2.058040665,,1,1.315789474,1.555555556
73200,Liver,Lamc1mmu-sg3,rp116,2.184761663,1.661602565,1.024029575,0.475477548,1,0.931578947,1.042222222
73200,Liver,Maddmmu-sg1,rp116,0.516486379,0.878648889,0.455083179,,1,0.642105263,0.964444444
73200,Liver,Maddmmu-sg2,rp116,2.264279708,1.631903484,1.569316081,0.612706989,1,0.839473684,0.833333333
73200,Liver,Maddmmu-sg3,rp116,0.861399509,0.895303607,0.944177449,,1,0.894736842,1.048888889
73200,Liver,Mgammu-sg1,rp116,1.529994875,1.327157816,0.499075786,,1,1.026315789,1.277777778
73200,Liver,Mgammu-sg2,rp116,0.998888641,0.988951314,0.805175601,,1,1.336842105,1.255555556
